Block,Sample_In_Block,Global_Sample,Voltage_V,Timestamp
1,1,1,2.29902529,2025-11-18T12:12:11.928437
1,2,2,2.29912495,2025-11-18T12:12:11.928437
1,3,3,2.29917287,2025-11-18T12:12:11.928437
1,4,4,2.29921364,2025-11-18T12:12:11.928437
1,5,5,2.29926371,2025-11-18T12:12:11.928437
1,6,6,2.29910063,2025-11-18T12:12:11.928437
1,7,7,2.29917955,2025-11-18T12:12:11.928437
1,8,8,2.2991178,2025-11-18T12:12:11.928437
1,9,9,2.29906249,2025-11-18T12:12:11.928437
1,10,10,2.29910993,2025-11-18T12:12:11.928437
1,11,11,2.29902029,2025-11-18T12:12:11.928437
1,12,12,2.29912352,2025-11-18T12:12:11.928437
1,13,13,2.29906153,2025-11-18T12:12:11.928437
1,14,14,2.29912042,2025-11-18T12:12:11.928437
1,15,15,2.298949,2025-11-18T12:12:11.928437
1,16,16,2.29904627,2025-11-18T12:12:11.928437
1,17,17,2.29914546,2025-11-18T12:12:11.928437
1,18,18,2.29914045,2025-11-18T12:12:11.928437
1,19,19,2.29914045,2025-11-18T12:12:11.928437
1,20,20,2.29909968,2025-11-18T12:12:11.928437
1,21,21,2.29906845,2025-11-18T12:12:11.928437
1,22,22,2.29913091,2025-11-18T12:12:11.928437
1,23,23,2.29905652,2025-11-18T12:12:11.928437
1,24,24,2.29907393,2025-11-18T12:12:11.928437
1,25,25,2.2990086,2025-11-18T12:12:11.928437
1,26,26,2.29909205,2025-11-18T12:12:11.928437
1,27,27,2.29910898,2025-11-18T12:12:11.928437
1,28,28,2.29909825,2025-11-18T12:12:11.928437
1,29,29,2.29914712,2025-11-18T12:12:11.928437
1,30,30,2.29921531,2025-11-18T12:12:11.928437
1,31,31,2.2991805,2025-11-18T12:12:11.928437
1,32,32,2.29913783,2025-11-18T12:12:11.928437
1,33,33,2.29909539,2025-11-18T12:12:11.928437
1,34,34,2.29908442,2025-11-18T12:12:11.928437
1,35,35,2.29902839,2025-11-18T12:12:11.928437
1,36,36,2.29904556,2025-11-18T12:12:11.928437
1,37,37,2.2990539,2025-11-18T12:12:11.928437
1,38,38,2.29913902,2025-11-18T12:12:11.928437
1,39,39,2.29911136,2025-11-18T12:12:11.928437
1,40,40,2.29915881,2025-11-18T12:12:11.928437
1,41,41,2.29916858,2025-11-18T12:12:11.928437
1,42,42,2.29911136,2025-11-18T12:12:11.928437
