Sample Number,Time (s),TIVA Raw,TIVA Filtered,TIVA Temp
1,0.0008,0.0026880000000000003,0.002517,20.08
2,0.0014,0.0027800000000000004,0.002542,20.08
3,0.0019,0.0028780000000000003,0.0025740000000000003,20.08
4,0.0024,0.0029620000000000002,0.002611,20.08
5,0.0028,0.003024,0.00265,20.08
6,0.0030,0.0030919999999999997,0.0026919999999999995,20.08
7,0.0033,0.0032430000000000002,0.002745,20.08
8,0.0034,0.0033710000000000003,0.002804,20.08
9,0.0037,0.003416,0.002862,20.08
10,0.0042,0.003403,0.0029140000000000004,20.08
11,0.0044,0.003076,0.002929,20.08
12,0.0047,0.002796,0.0029170000000000003,20.08
13,0.0050,0.002686,0.0028949999999999996,20.08
14,0.0052,0.0024660000000000003,0.002854,20.08
15,0.0054,0.002297,0.002801,20.08
16,0.0057,0.002176,0.0027410000000000004,20.08
17,0.0061,0.002036,0.002674,20.08
18,0.0067,0.0018789999999999998,0.0025989999999999997,20.08
19,0.0073,0.0018989999999999999,0.002532,20.08
20,0.0077,0.002108,0.002492,20.08
21,0.0229,0.002297,0.0024730000000000004,20.08
22,0.0241,0.0024180000000000004,0.0024680000000000006,20.08
23,0.0250,0.00249,0.0024700000000000004,20.07
24,0.0254,0.0025680000000000004,0.0024790000000000003,20.07
25,0.0258,0.002657,0.002496,20.07
26,0.0261,0.0027410000000000004,0.00252,20.07
27,0.0265,0.002834,0.00255,20.08
28,0.0269,0.0029270000000000003,0.002585,20.08
29,0.0271,0.003004,0.0026249999999999997,20.08
30,0.0273,0.0030510000000000003,0.002666,20.08
31,0.0275,0.003187,0.002715,20.08
32,0.0277,0.003337,0.0027740000000000004,20.08
33,0.0280,0.003385,0.002832,20.08
34,0.0283,0.0034440000000000004,0.002891,20.08
35,0.0285,0.0031149999999999997,0.002912,20.08
36,0.0287,0.002831,0.0029040000000000003,20.08
37,0.0289,0.0027410000000000004,0.002889,20.08
38,0.0291,0.002465,0.0028480000000000003,20.08
39,0.0293,0.002312,0.002797,20.08
40,0.0295,0.0021989999999999996,0.0027410000000000004,20.08
41,0.0394,0.002049,0.002675,20.08
42,0.0896,0.0018909999999999999,0.0026,20.08
43,0.1396,0.001835,0.0025280000000000003,20.08
44,0.1900,0.002011,0.0024780000000000006,20.08
45,0.2402,0.0022380000000000004,0.002455,20.08
46,0.2906,0.002355,0.0024460000000000003,20.08
47,0.3409,0.0024460000000000003,0.0024460000000000003,20.07
48,0.3910,0.002533,0.0024540000000000005,20.07
49,0.4412,0.002619,0.0024700000000000004,20.07
50,0.4917,0.002702,0.002492,20.07
51,0.5420,0.002793,0.0025210000000000002,20.08
52,0.5921,0.0028880000000000004,0.002556,20.08
53,0.6424,0.002975,0.002596,20.08
54,0.6927,0.003035,0.002637,20.08
55,0.7430,0.003136,0.002685,20.08
56,0.7933,0.003291,0.002742,20.08
57,0.8434,0.003373,0.002802,20.08
58,0.8940,0.0034170000000000003,0.0028610000000000003,20.08
59,0.9440,0.003176,0.002891,20.07
60,0.9942,0.0029330000000000003,0.0028949999999999996,20.07
61,1.0446,0.002765,0.002883,20.07
62,1.0950,0.0024790000000000003,0.002844,20.07
63,1.1451,0.002335,0.002796,20.07
64,1.1955,0.0022010000000000003,0.002739,20.07
65,1.2458,0.00205,0.002674,20.08
66,1.2960,0.0019020000000000003,0.0026,20.08
67,1.3464,0.0017900000000000001,0.002523,20.08
68,1.3966,0.0019270000000000003,0.0024660000000000003,20.08
69,1.4470,0.002185,0.0024400000000000003,20.08
70,1.4970,0.002321,0.0024280000000000005,20.08
71,1.5474,0.0024330000000000003,0.002429,20.07
72,1.5976,0.0025280000000000003,0.0024380000000000005,20.07
73,1.6480,0.002606,0.0024540000000000005,20.07
74,1.6982,0.0026919999999999995,0.0024770000000000005,20.07
75,1.7483,0.0027860000000000003,0.002506,20.08
76,1.7988,0.0028880000000000004,0.002543,20.08
77,1.8490,0.0029760000000000003,0.0025840000000000004,20.07
78,1.8993,0.003037,0.002627,20.07
79,1.9496,0.003114,0.002673,20.08
